number,zip,"lat,long",city,pop
243,37755,"36.423752, -84.531567","Helenwood, Tennessee","3,450"
244,37030,"36.278400, -85.947644","Carthage, Tennessee","7,154"
245,37049,"36.562101, -86.682142","Cross Plains, Tennessee","2,788"
246,37779,"36.212369, -83.753221","Luttrell, Tennessee","3,446"
247,37191,"36.494075, -87.529654","Woodlawn, Tennessee","3,977"
248,37336,"35.308865, -84.931502","Georgetown, Tennessee","3,416"
249,37356,"35.225646, -85.823552","Monteagle, Tennessee","2,424"
250,37705,"36.228674, -84.008690","Andersonville, Tennessee","4,301"
251,37891,"36.285246, -83.143651","Whitesburg, Tennessee","3,277"
252,37818,"36.228866, -82.943676","Mosheim, Tennessee","4,577"
253,37329,"35.397961, -84.459853","Englewood, Tennessee","5,215"
254,38261,"36.429231, -89.102770","Union City, Tennessee","16,998"
255,37110,"35.662745, -85.761436","Mc Minnville, Tennessee","31,094"
256,37825,"36.415885, -83.679104","New Tazewell, Tennessee","7,823"
257,37029,"36.048826, -87.261944","Burns, Tennessee","4,237"
258,37023,"36.586188, -87.803845","Big Rock, Tennessee","1,670"
259,38060,"35.209347, -89.505468","Oakland, Tennessee","3,861"
260,37381,"35.684024, -84.831295","Spring City, Tennessee","7,850"
261,37091,"35.489239, -86.767472","Lewisburg, Tennessee","18,851"
262,37681,"36.255659, -82.623602","Limestone, Tennessee","5,880"
263,37854,"35.887063, -84.733427","Rockwood, Tennessee","11,791"
264,37025,"35.949371, -87.304142","Bon Aqua, Tennessee","5,150"
265,37310,"35.224262, -84.717199","Charleston, Tennessee","3,565"
266,38132,"35.071052, -89.994613","Memphis, Tennessee",80
267,37886,"35.745379, -83.801864","Walland, Tennessee","3,746"
268,38028,"35.228643, -89.587447","Eads, Tennessee","5,049"
269,38565,"36.269926, -85.010148","Grimsley, Tennessee",485
270,37334,"35.154442, -86.584340","Fayetteville, Tennessee","20,002"
271,37153,"35.766633, -86.553056","Rockvale, Tennessee","4,904"
272,37307,"35.163937, -84.625932","Benton, Tennessee","4,714"
273,37098,"35.872377, -87.319372","Lyles, Tennessee","4,718"
274,38257,"36.456475, -88.877060","South Fulton, Tennessee","4,857"
275,37683,"36.467916, -81.806895","Mountain City, Tennessee","12,474"
276,37658,"36.254782, -82.149145","Hampton, Tennessee","4,266"
277,37857,"36.422635, -82.949064","Rogersville, Tennessee","20,063"
278,37742,"35.678980, -84.174441","Greenback, Tennessee","4,241"
279,37134,"36.003814, -87.954956","New Johnsonville, Tennessee","3,018"
280,37186,"36.586540, -86.222637","Westmoreland, Tennessee","8,898"
281,37811,"36.351328, -83.221743","Mooresburg, Tennessee","2,782"
282,37711,"36.282918, -83.026495","Bulls Gap, Tennessee","4,417"
283,37166,"35.923618, -85.796107","Smithville, Tennessee","12,294"
284,37083,"36.535354, -86.011048","Lafayette, Tennessee","12,448"
285,37709,"36.176795, -83.659951","Blaine, Tennessee","3,185"
286,37887,"36.094836, -84.565849","Wartburg, Tennessee","6,690"
287,38481,"35.026068, -87.488951","Saint Joseph, Tennessee",978
288,38464,"35.290794, -87.433722","Lawrenceburg, Tennessee","22,024"
289,37692,"36.184458, -82.303732","Unicoi, Tennessee","4,414"
290,38375,"35.164376, -88.587087","Selmer, Tennessee","8,924"
291,37180,"35.624663, -86.584942","Unionville, Tennessee","2,629"
292,37361,"35.097299, -84.692475","Ocoee, Tennessee","1,357"
